"geoid","geoid2","geodisplaylabel","hc02_est_vc02"
"1400000US48029121403","48029121403","Census Tract 1214.03, Bexar County, Texas","36802"
"1400000US48029121404","48029121404","Census Tract 1214.04, Bexar County, Texas","28557"
"1400000US48029121501","48029121501","Census Tract 1215.01, Bexar County, Texas","82472"
"1400000US48029121504","48029121504","Census Tract 1215.04, Bexar County, Texas","65069"
"1400000US48029121505","48029121505","Census Tract 1215.05, Bexar County, Texas","59543"
"1400000US48029121506","48029121506","Census Tract 1215.06, Bexar County, Texas","47219"
"1400000US48029121507","48029121507","Census Tract 1215.07, Bexar County, Texas","44531"
"1400000US48029121508","48029121508","Census Tract 1215.08, Bexar County, Texas","39792"
"1400000US48029121601","48029121601","Census Tract 1216.01, Bexar County, Texas","42778"
"1400000US48029121604","48029121604","Census Tract 1216.04, Bexar County, Texas","63704"
"1400000US48029121605","48029121605","Census Tract 1216.05, Bexar County, Texas","60392"
"1400000US48029121606","48029121606","Census Tract 1216.06, Bexar County, Texas","56052"
"1400000US48029121701","48029121701","Census Tract 1217.01, Bexar County, Texas","47388"
"1400000US48029121702","48029121702","Census Tract 1217.02, Bexar County, Texas","67003"
"1400000US48029121802","48029121802","Census Tract 1218.02, Bexar County, Texas","53777"
"1400000US48029121803","48029121803","Census Tract 1218.03, Bexar County, Texas","57210"
"1400000US48029121804","48029121804","Census Tract 1218.04, Bexar County, Texas","55212"
"1400000US48029121808","48029121808","Census Tract 1218.08, Bexar County, Texas","82167"
"1400000US48029121809","48029121809","Census Tract 1218.09, Bexar County, Texas","66679"
"1400000US48029121810","48029121810","Census Tract 1218.10, Bexar County, Texas","73229"
"1400000US48029121811","48029121811","Census Tract 1218.11, Bexar County, Texas","78979"
"1400000US48029121812","48029121812","Census Tract 1218.12, Bexar County, Texas","61074"
"1400000US48029121813","48029121813","Census Tract 1218.13, Bexar County, Texas","57679"
"1400000US48029121903","48029121903","Census Tract 1219.03, Bexar County, Texas","105374"
"1400000US48029121904","48029121904","Census Tract 1219.04, Bexar County, Texas","110089"
"1400000US48029121905","48029121905","Census Tract 1219.05, Bexar County, Texas","96146"
"1400000US48029121906","48029121906","Census Tract 1219.06, Bexar County, Texas","88721"
"1400000US48029121907","48029121907","Census Tract 1219.07, Bexar County, Texas","95679"
"1400000US48029121908","48029121908","Census Tract 1219.08, Bexar County, Texas","108344"
"1400000US48029121909","48029121909","Census Tract 1219.09, Bexar County, Texas","73850"
"1400000US48029121910","48029121910","Census Tract 1219.10, Bexar County, Texas","96389"
"1400000US48029130200","48029130200","Census Tract 1302, Bexar County, Texas","29068"
"1400000US48029130300","48029130300","Census Tract 1303, Bexar County, Texas","33427"
"1400000US48029130401","48029130401","Census Tract 1304.01, Bexar County, Texas","27609"
"1400000US48029130402","48029130402","Census Tract 1304.02, Bexar County, Texas","22485"
"1400000US48029130500","48029130500","Census Tract 1305, Bexar County, Texas","22255"
"1400000US48029130600","48029130600","Census Tract 1306, Bexar County, Texas","19475"
"1400000US48029130700","48029130700","Census Tract 1307, Bexar County, Texas","25917"
"1400000US48029130800","48029130800","Census Tract 1308, Bexar County, Texas","28167"
"1400000US48029130900","48029130900","Census Tract 1309, Bexar County, Texas","21693"
"1400000US48029131000","48029131000","Census Tract 1310, Bexar County, Texas","28528"
